start of a
end of a
start of b
end of b
start of c
end of c
start of d
end of d
start of e
end of e
start of f
end of f
start of g
end of g
start of h
end of h
start of i
end of i
start of j
end of j
start of k
end of k
start of l
end of l
start of m
end of m
start of n
end of n
start of o
end of o
start of p
pain,une chose qui est fait avec la farine,ekmek,undan yapılan bir çeşit yemek
end of p
start of q
end of q
start of r
end of r
start of s
end of s
start of t
end of t
start of u
end of u
start of v
voiture(la),Un veichule de transport pour 2-8 personnes.,araba,4 tekerlekli genelde 4 kişi taşıyabilen bir ulaşım aracı.
end of v
start of w
end of w
start of x
end of x
start of y
end of y
start of z
end of z
